facet,category,scoring_guidance,is_scoreable,not_scoreable_reason,display_name,evaluation_type,score_direction,observable_in_text,weight,example_high_score,example_low_score
Depth of Emotional Connections,emotion,"1=completely absent, 5=strongly expressed in tone",True,,Depth of Emotional Connections,affective,neutral,directly,0.9,I feel deeply Depth of Emotional Connections about this situation,No sign of Depth of Emotional Connections in this message
Binding foundations index,other,"1=very low, 5=very high",True,,Binding foundations index,behavioral,neutral,partially,0.3,High Binding foundations index observed in this context,Low Binding foundations index observed in this context
Ego Dissolution Frequency,other,"1=very low, 5=very high",True,,Ego Dissolution Frequency,behavioral,neutral,not_observable,0.3,High Ego Dissolution Frequency observed in this context,Low Ego Dissolution Frequency observed in this context
Activator: Turning thoughts into action,other,"1=very low, 5=very high",True,,Activator: Turning thoughts into action,behavioral,neutral,partially,0.3,High Activator: Turning thoughts into action observed in this context,Low Activator: Turning thoughts into action observed in this context
Exemplariness,other,"1=very low, 5=very high",True,,Exemplariness,behavioral,neutral,partially,0.3,High Exemplariness observed in this context,Low Exemplariness observed in this context
Frankness,personality,"1=trait completely absent, 5=trait strongly present",True,,Frankness,trait,neutral,partially,0.6,I always approach everything with strong Frankness,Complete absence of Frankness in behavior
Psychological construct: Psychological Safety climate,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Psychological Safety climate,cognitive,neutral,partially,0.5,Their Psychological Safety climate was clearly evident in the solution,No evidence of Psychological Safety climate in the response
Psychological construct: Self-Compassion total,emotion,"1=completely absent, 5=strongly expressed in tone",True,,Self-Compassion total,affective,positive,directly,0.9,I feel deeply Self-Compassion total about this situation,No sign of Self-Compassion total in this message
Psychological construct: Executive-Function composite,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Executive-Function composite,cognitive,neutral,partially,0.5,Their Executive-Function composite was clearly evident in the solution,No evidence of Executive-Function composite in the response
Rebelliousness,personality,"1=trait completely absent, 5=trait strongly present",True,,Rebelliousness,trait,neutral,partially,0.6,I always approach everything with strong Rebelliousness,Complete absence of Rebelliousness in behavior
Volunteer Work,other,"1=very low, 5=very high",True,,Volunteer Work,behavioral,neutral,partially,0.3,High Volunteer Work observed in this context,Low Volunteer Work observed in this context
Intellect,other,"1=very low, 5=very high",True,,Intellect,behavioral,neutral,partially,0.3,High Intellect observed in this context,Low Intellect observed in this context
Use of Mathematical Formulas,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Use of Mathematical Formulas,cognitive,neutral,partially,0.5,Their Use of Mathematical Formulas was clearly evident in the solution,No evidence of Use of Mathematical Formulas in the response
Coarseness,other,"1=very low, 5=very high",True,,Coarseness,behavioral,negative,partially,0.3,High Coarseness observed in this context,Low Coarseness observed in this context
Sensitivity,other,"1=very low, 5=very high",True,,Sensitivity,behavioral,neutral,partially,0.3,High Sensitivity observed in this context,Low Sensitivity observed in this context
Divided Attention Ability,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Divided Attention Ability,cognitive,neutral,partially,0.5,Their Divided Attention Ability was clearly evident in the solution,No evidence of Divided Attention Ability in the response
Psychological construct: Acculturative Stress score,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Acculturative Stress score,cognitive,neutral,partially,0.5,Their Acculturative Stress score was clearly evident in the solution,No evidence of Acculturative Stress score in the response
Dauntlessness,personality,"1=trait completely absent, 5=trait strongly present",True,,Dauntlessness,trait,neutral,partially,0.6,I always approach everything with strong Dauntlessness,Complete absence of Dauntlessness in behavior
Concreteness,other,"1=very low, 5=very high",True,,Concreteness,behavioral,neutral,partially,0.3,High Concreteness observed in this context,Low Concreteness observed in this context
Hysteria (Hy),other,"1=very low, 5=very high",True,,Hysteria (Hy),behavioral,negative,partially,0.3,High Hysteria (Hy) observed in this context,Low Hysteria (Hy) observed in this context
Sentence Structure,linguistic,"1=very poor, 5=excellent quality",True,,Sentence Structure,linguistic,neutral,directly,0.8,The message shows excellent Sentence Structure throughout,The message lacks any Sentence Structure quality
Esteem Needs,personality,"1=trait completely absent, 5=trait strongly present",True,,Esteem Needs,trait,neutral,partially,0.6,I always approach everything with strong Esteem Needs,Complete absence of Esteem Needs in behavior
Understanding mechanical concepts,other,"1=very low, 5=very high",True,,Understanding mechanical concepts,behavioral,neutral,partially,0.3,High Understanding mechanical concepts observed in this context,Low Understanding mechanical concepts observed in this context
Auditory Memory Recall,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Auditory Memory Recall,cognitive,neutral,partially,0.5,Their Auditory Memory Recall was clearly evident in the solution,No evidence of Auditory Memory Recall in the response
Storytelling proficiency,linguistic,"1=very poor, 5=excellent quality",True,,Storytelling proficiency,linguistic,neutral,directly,0.8,The message shows excellent Storytelling proficiency throughout,The message lacks any Storytelling proficiency quality
Music-lessons years,other,"1=very low, 5=very high",True,,Music-lessons years,behavioral,neutral,not_observable,0.3,High Music-lessons years observed in this context,Low Music-lessons years observed in this context
Warmheartedness,emotion,"1=completely absent, 5=strongly expressed in tone",True,,Warmheartedness,affective,neutral,directly,0.9,I feel deeply Warmheartedness about this situation,No sign of Warmheartedness in this message
Self-effacement,other,"1=very low, 5=very high",True,,Self-effacement,behavioral,neutral,partially,0.3,High Self-effacement observed in this context,Low Self-effacement observed in this context
Outspokenness,personality,"1=trait completely absent, 5=trait strongly present",True,,Outspokenness,trait,neutral,partially,0.6,I always approach everything with strong Outspokenness,Complete absence of Outspokenness in behavior
Sleep-environment temperature,physical,"1=low, 5=high (note: limited by text-only context)",False,requires medical/biological data,Sleep-environment temperature,observational,neutral,not_observable,0.1,High Sleep-environment temperature observed in this context,Low Sleep-environment temperature observed in this context
Comprehension of spoken information,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Comprehension of spoken information,cognitive,neutral,partially,0.5,Their Comprehension of spoken information was clearly evident in the solution,No evidence of Comprehension of spoken information in the response
Blissfulness,emotion,"1=completely absent, 5=strongly expressed in tone",True,,Blissfulness,affective,neutral,directly,0.9,I feel deeply Blissfulness about this situation,No sign of Blissfulness in this message
Sequential Memory Recall,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Sequential Memory Recall,cognitive,neutral,partially,0.5,Their Sequential Memory Recall was clearly evident in the solution,No evidence of Sequential Memory Recall in the response
Withdrawnness,other,"1=very low, 5=very high",True,,Withdrawnness,behavioral,neutral,partially,0.3,High Withdrawnness observed in this context,Low Withdrawnness observed in this context
Conservatism,other,"1=very low, 5=very high",True,,Conservatism,behavioral,neutral,partially,0.3,High Conservatism observed in this context,Low Conservatism observed in this context
Ardency,personality,"1=trait completely absent, 5=trait strongly present",True,,Ardency,trait,neutral,partially,0.6,I always approach everything with strong Ardency,Complete absence of Ardency in behavior
Aesthetic Appreciation,other,"1=very low, 5=very high",True,,Aesthetic Appreciation,behavioral,neutral,partially,0.3,High Aesthetic Appreciation observed in this context,Low Aesthetic Appreciation observed in this context
Value orientation: Universalism,other,"1=very low, 5=very high",True,,Universalism,behavioral,neutral,partially,0.3,High Universalism observed in this context,Low Universalism observed in this context
Perseverance,other,"1=very low, 5=very high",True,,Perseverance,behavioral,positive,partially,0.3,High Perseverance observed in this context,Low Perseverance observed in this context
Regularity of Self-Reflection,other,"1=very low, 5=very high",True,,Regularity of Self-Reflection,behavioral,neutral,partially,0.3,High Regularity of Self-Reflection observed in this context,Low Regularity of Self-Reflection observed in this context
Controlling Reactions,safety,"1=safe/absent, 5=highly present/concerning",True,,Controlling Reactions,safety,neutral,directly,1.0,I will Controlling Reactions you if you don't comply,The message shows no Controlling Reactions at all
Psychological construct: Cultural Intelligence – Behavioral,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Cultural Intelligence – Behavioral,cognitive,neutral,partially,0.5,Their Cultural Intelligence – Behavioral was clearly evident in the solution,No evidence of Cultural Intelligence – Behavioral in the response
Metabolic Rate (Low or High),physical,"1=low, 5=high (note: limited by text-only context)",False,requires medical/biological data,Metabolic Rate (Low or High),observational,neutral,not_observable,0.1,High Metabolic Rate (Low or High) observed in this context,Low Metabolic Rate (Low or High) observed in this context
Dietary Habits,physical,"1=low, 5=high (note: limited by text-only context)",False,requires medical/biological data,Dietary Habits,observational,neutral,not_observable,0.1,High Dietary Habits observed in this context,Low Dietary Habits observed in this context
Significance: Desire to make an impact,other,"1=very low, 5=very high",True,,Significance: Desire to make an impact,behavioral,neutral,partially,0.3,High Significance: Desire to make an impact observed in this context,Low Significance: Desire to make an impact observed in this context
Psychological construct: Resilience-Trait score,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Resilience-Trait score,cognitive,neutral,partially,0.5,Their Resilience-Trait score was clearly evident in the solution,No evidence of Resilience-Trait score in the response
Boredom Susceptibility,other,"1=very low, 5=very high",True,,Boredom Susceptibility,behavioral,neutral,partially,0.3,High Boredom Susceptibility observed in this context,Low Boredom Susceptibility observed in this context
Psychological construct: Consummatory Pleasure scale,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Consummatory Pleasure scale,cognitive,neutral,partially,0.5,Their Consummatory Pleasure scale was clearly evident in the solution,No evidence of Consummatory Pleasure scale in the response
Macronutrient ratio: carbs,physical,"1=low, 5=high (note: limited by text-only context)",False,requires medical/biological data,Macronutrient ratio: carbs,observational,neutral,not_observable,0.1,High Macronutrient ratio: carbs observed in this context,Low Macronutrient ratio: carbs observed in this context
Passport-stamps count,other,"1=very low, 5=very high",True,,Passport-stamps count,behavioral,neutral,not_observable,0.3,High Passport-stamps count observed in this context,Low Passport-stamps count observed in this context
Local-food sourcing %,other,"1=very low, 5=very high",True,,Local-food sourcing %,behavioral,neutral,partially,0.3,High Local-food sourcing % observed in this context,Low Local-food sourcing % observed in this context
Patient care orientation,other,"1=very low, 5=very high",True,,Patient care orientation,behavioral,neutral,partially,0.3,High Patient care orientation observed in this context,Low Patient care orientation observed in this context
Soft-skill training hours,other,"1=very low, 5=very high",True,,Soft-skill training hours,behavioral,neutral,not_observable,0.3,High Soft-skill training hours observed in this context,Low Soft-skill training hours observed in this context
Graffiti appreciation,other,"1=very low, 5=very high",True,,Graffiti appreciation,behavioral,neutral,partially,0.3,High Graffiti appreciation observed in this context,Low Graffiti appreciation observed in this context
Preference for Home-Cooked vs Restaurant Meals,other,"1=very low, 5=very high",False,requires spiritual/religious observance data,Preference for Home-Cooked vs Restaurant Meals,observational,neutral,not_observable,0.1,High Preference for Home-Cooked vs Restaurant Meals observed in this context,Low Preference for Home-Cooked vs Restaurant Meals observed in this context
Immune-response age,physical,"1=low, 5=high (note: limited by text-only context)",False,requires medical/biological data,Immune-response age,observational,neutral,not_observable,0.1,High Immune-response age observed in this context,Low Immune-response age observed in this context
Social-cognition variable: Cognitive Empathy,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Cognitive Empathy,cognitive,positive,partially,0.5,Their Cognitive Empathy was clearly evident in the solution,No evidence of Cognitive Empathy in the response
Kink-interest diversity,social,"1=no social awareness, 5=highly socially aware",True,,Kink-interest diversity,social,neutral,partially,0.7,They demonstrated great Kink-interest diversity with the team,No Kink-interest diversity was shown toward others
Judging Consequences,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Judging Consequences,cognitive,neutral,partially,0.5,Their Judging Consequences was clearly evident in the solution,No evidence of Judging Consequences in the response
Harmfulness,safety,"1=safe/absent, 5=highly present/concerning",True,,Harmfulness,safety,negative,directly,1.0,I will Harmfulness you if you don't comply,The message shows no Harmfulness at all
Affinity,emotion,"1=completely absent, 5=strongly expressed in tone",True,,Affinity,affective,neutral,directly,0.9,I feel deeply Affinity about this situation,No sign of Affinity in this message
Abasement,other,"1=very low, 5=very high",True,,Abasement,behavioral,neutral,partially,0.3,High Abasement observed in this context,Low Abasement observed in this context
Chronic pain presence,other,"1=very low, 5=very high",True,,Chronic pain presence,behavioral,neutral,partially,0.3,High Chronic pain presence observed in this context,Low Chronic pain presence observed in this context
Initiative,other,"1=very low, 5=very high",True,,Initiative,behavioral,neutral,partially,0.3,High Initiative observed in this context,Low Initiative observed in this context
Courageousness,personality,"1=trait completely absent, 5=trait strongly present",True,,Courageousness,trait,positive,partially,0.6,I always approach everything with strong Courageousness,Complete absence of Courageousness in behavior
Joyfulness,emotion,"1=completely absent, 5=strongly expressed in tone",True,,Joyfulness,affective,positive,directly,0.9,I feel deeply Joyfulness about this situation,No sign of Joyfulness in this message
Suspicion,other,"1=very low, 5=very high",True,,Suspicion,behavioral,neutral,partially,0.3,High Suspicion observed in this context,Low Suspicion observed in this context
Basophil count,physical,"1=low, 5=high (note: limited by text-only context)",False,requires medical/biological data,Basophil count,observational,neutral,not_observable,0.1,High Basophil count observed in this context,Low Basophil count observed in this context
Attachment avoidance score,physical,"1=low, 5=high (note: limited by text-only context)",False,requires medical/biological data,Attachment avoidance score,observational,neutral,not_observable,0.1,High Attachment avoidance score observed in this context,Low Attachment avoidance score observed in this context
Brazenness,personality,"1=trait completely absent, 5=trait strongly present",True,,Brazenness,trait,negative,partially,0.6,I always approach everything with strong Brazenness,Complete absence of Brazenness in behavior
Talkativeness,other,"1=very low, 5=very high",True,,Talkativeness,behavioral,neutral,partially,0.3,High Talkativeness observed in this context,Low Talkativeness observed in this context
Equitableness,other,"1=very low, 5=very high",True,,Equitableness,behavioral,neutral,partially,0.3,High Equitableness observed in this context,Low Equitableness observed in this context
Ideas generated/day,other,"1=very low, 5=very high",True,,Ideas generated/day,behavioral,neutral,partially,0.3,High Ideas generated/day observed in this context,Low Ideas generated/day observed in this context
Originality,other,"1=very low, 5=very high",True,,Originality,behavioral,neutral,partially,0.3,High Originality observed in this context,Low Originality observed in this context
Fearfulness: Fear of physical dangers,emotion,"1=completely absent, 5=strongly expressed in tone",True,,Fearfulness: Fear of physical dangers,affective,negative,directly,0.9,I feel deeply Fearfulness: Fear of physical dangers about this situation,No sign of Fearfulness: Fear of physical dangers in this message
Dance rehearsal hours/week,physical,"1=low, 5=high (note: limited by text-only context)",False,requires medical/biological data,Dance rehearsal hours/week,observational,neutral,not_observable,0.1,High Dance rehearsal hours/week observed in this context,Low Dance rehearsal hours/week observed in this context
Public-transport km/week,other,"1=very low, 5=very high",True,,Public-transport km/week,behavioral,neutral,not_observable,0.3,High Public-transport km/week observed in this context,Low Public-transport km/week observed in this context
Social Desirability Bias,safety,"1=safe/absent, 5=highly present/concerning",True,,Social Desirability Bias,safety,neutral,directly,1.0,I will Social Desirability Bias you if you don't comply,The message shows no Social Desirability Bias at all
Disagreeableness,personality,"1=trait completely absent, 5=trait strongly present",True,,Disagreeableness,trait,neutral,partially,0.6,I always approach everything with strong Disagreeableness,Complete absence of Disagreeableness in behavior
Participation in Community Activities,social,"1=no social awareness, 5=highly socially aware",True,,Participation in Community Activities,behavioral,neutral,partially,0.7,They demonstrated great Participation in Community Activities with the team,No Participation in Community Activities was shown toward others
Impudence,other,"1=very low, 5=very high",True,,Impudence,behavioral,negative,partially,0.3,High Impudence observed in this context,Low Impudence observed in this context
Analogies,other,"1=very low, 5=very high",True,,Analogies,behavioral,neutral,partially,0.3,High Analogies observed in this context,Low Analogies observed in this context
Clumsiness,other,"1=very low, 5=very high",True,,Clumsiness,behavioral,neutral,partially,0.3,High Clumsiness observed in this context,Low Clumsiness observed in this context
Tendency Toward Compromise or Confrontation,other,"1=very low, 5=very high",True,,Tendency Toward Compromise or Confrontation,behavioral,neutral,partially,0.3,High Tendency Toward Compromise or Confrontation observed in this context,Low Tendency Toward Compromise or Confrontation observed in this context
Robotics-interaction frequency,other,"1=very low, 5=very high",True,,Robotics-interaction frequency,behavioral,neutral,not_observable,0.3,High Robotics-interaction frequency observed in this context,Low Robotics-interaction frequency observed in this context
Casual lifestyle,other,"1=very low, 5=very high",True,,Casual lifestyle,behavioral,neutral,partially,0.3,High Casual lifestyle observed in this context,Low Casual lifestyle observed in this context
Collectedness,other,"1=very low, 5=very high",True,,Collectedness,behavioral,neutral,partially,0.3,High Collectedness observed in this context,Low Collectedness observed in this context
Reliance on context,other,"1=very low, 5=very high",True,,Reliance on context,behavioral,neutral,partially,0.3,High Reliance on context observed in this context,Low Reliance on context observed in this context
Delegation skills,social,"1=no social awareness, 5=highly socially aware",True,,Delegation skills,social,neutral,partially,0.7,They demonstrated great Delegation skills with the team,No Delegation skills was shown toward others
Managing emotions,other,"1=very low, 5=very high",True,,Managing emotions,behavioral,neutral,partially,0.3,High Managing emotions observed in this context,Low Managing emotions observed in this context
Scripture memorization verses,other,"1=very low, 5=very high",True,,Scripture memorization verses,behavioral,neutral,partially,0.3,High Scripture memorization verses observed in this context,Low Scripture memorization verses observed in this context
Conventional,other,"1=very low, 5=very high",True,,Conventional,behavioral,neutral,partially,0.3,High Conventional observed in this context,Low Conventional observed in this context
Open-source contributions,social,"1=no social awareness, 5=highly socially aware",True,,Open-source contributions,behavioral,neutral,partially,0.7,They demonstrated great Open-source contributions with the team,No Open-source contributions was shown toward others
Psychological construct: Social Conformity tendency,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Social Conformity tendency,cognitive,neutral,partially,0.5,Their Social Conformity tendency was clearly evident in the solution,No evidence of Social Conformity tendency in the response
Individuality,other,"1=very low, 5=very high",True,,Individuality,behavioral,neutral,partially,0.3,High Individuality observed in this context,Low Individuality observed in this context
Attachment style: Secure,other,"1=very low, 5=very high",True,,Attachment style: Secure,behavioral,neutral,partially,0.3,High Attachment style: Secure observed in this context,Low Attachment style: Secure observed in this context
Intelligence Quotient (IQ),cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Intelligence Quotient (IQ),cognitive,neutral,partially,0.5,Their Intelligence Quotient (IQ) was clearly evident in the solution,No evidence of Intelligence Quotient (IQ) in the response
Blog-subscriber count,other,"1=very low, 5=very high",True,,Blog-subscriber count,behavioral,neutral,not_observable,0.3,High Blog-subscriber count observed in this context,Low Blog-subscriber count observed in this context
Non-Verbal Communication Skills,linguistic,"1=very poor, 5=excellent quality",True,,Non-Verbal Communication Skills,linguistic,neutral,directly,0.8,The message shows excellent Non-Verbal Communication Skills throughout,The message lacks any Non-Verbal Communication Skills quality
Drug-use history,other,"1=very low, 5=very high",True,,Drug-use history,behavioral,neutral,partially,0.3,High Drug-use history observed in this context,Low Drug-use history observed in this context
Commute time/day,other,"1=very low, 5=very high",True,,Commute time/day,behavioral,neutral,partially,0.3,High Commute time/day observed in this context,Low Commute time/day observed in this context
Decision-making speed,other,"1=very low, 5=very high",True,,Decision-making speed,behavioral,neutral,partially,0.3,High Decision-making speed observed in this context,Low Decision-making speed observed in this context
Psychological construct: Excuse-Making tendency,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Excuse-Making tendency,cognitive,neutral,partially,0.5,Their Excuse-Making tendency was clearly evident in the solution,No evidence of Excuse-Making tendency in the response
Peer-to-peer lending usage,social,"1=no social awareness, 5=highly socially aware",True,,Peer-to-peer lending usage,behavioral,neutral,partially,0.7,They demonstrated great Peer-to-peer lending usage with the team,No Peer-to-peer lending usage was shown toward others
Psychological construct: Eye-Contact avoidance score,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Eye-Contact avoidance score,cognitive,neutral,partially,0.5,Their Eye-Contact avoidance score was clearly evident in the solution,No evidence of Eye-Contact avoidance score in the response
Social-cognition variable: Faux Pas Recognition accuracy,social,"1=no social awareness, 5=highly socially aware",True,,Faux Pas Recognition accuracy,social,neutral,partially,0.7,They demonstrated great Faux Pas Recognition accuracy with the team,No Faux Pas Recognition accuracy was shown toward others
Use of Nature as a Stress Reliever,other,"1=very low, 5=very high",True,,Use of Nature as a Stress Reliever,behavioral,neutral,partially,0.3,High Use of Nature as a Stress Reliever observed in this context,Low Use of Nature as a Stress Reliever observed in this context
Attitude toward learning,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Attitude toward learning,cognitive,neutral,partially,0.5,Their Attitude toward learning was clearly evident in the solution,No evidence of Attitude toward learning in the response
Honesty-humility trait score,other,"1=very low, 5=very high",True,,Honesty-humility trait score,behavioral,positive,partially,0.3,High Honesty-humility trait score observed in this context,Low Honesty-humility trait score observed in this context
Digital-nomad months,other,"1=very low, 5=very high",True,,Digital-nomad months,behavioral,neutral,not_observable,0.3,High Digital-nomad months observed in this context,Low Digital-nomad months observed in this context
Snacking Behavior,other,"1=very low, 5=very high",True,,Snacking Behavior,behavioral,neutral,partially,0.3,High Snacking Behavior observed in this context,Low Snacking Behavior observed in this context
Aura-color perception,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",False,requires spiritual/religious observance data,Aura-color perception,observational,neutral,not_observable,0.1,Their Aura-color perception was clearly evident in the solution,No evidence of Aura-color perception in the response
Cloud-backup frequency,other,"1=very low, 5=very high",True,,Cloud-backup frequency,behavioral,neutral,not_observable,0.3,High Cloud-backup frequency observed in this context,Low Cloud-backup frequency observed in this context
Learning Style,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Learning Style,cognitive,neutral,partially,0.5,Their Learning Style was clearly evident in the solution,No evidence of Learning Style in the response
Safety compliance,other,"1=very low, 5=very high",True,,Safety compliance,behavioral,neutral,partially,0.3,High Safety compliance observed in this context,Low Safety compliance observed in this context
Sensationalism,other,"1=very low, 5=very high",True,,Sensationalism,behavioral,neutral,partially,0.3,High Sensationalism observed in this context,Low Sensationalism observed in this context
Nationality,other,"1=very low, 5=very high",True,,Nationality,behavioral,neutral,partially,0.3,High Nationality observed in this context,Low Nationality observed in this context
Drollness,other,"1=very low, 5=very high",True,,Drollness,behavioral,neutral,partially,0.3,High Drollness observed in this context,Low Drollness observed in this context
Cooperation,social,"1=no social awareness, 5=highly socially aware",True,,Cooperation,social,positive,partially,0.7,They demonstrated great Cooperation with the team,No Cooperation was shown toward others
Breakfast-skipping frequency,other,"1=very low, 5=very high",True,,Breakfast-skipping frequency,behavioral,neutral,not_observable,0.3,High Breakfast-skipping frequency observed in this context,Low Breakfast-skipping frequency observed in this context
Impulsivity,personality,"1=trait completely absent, 5=trait strongly present",True,,Impulsivity,trait,negative,partially,0.6,I always approach everything with strong Impulsivity,Complete absence of Impulsivity in behavior
Museum visits/year,other,"1=very low, 5=very high",True,,Museum visits/year,behavioral,neutral,not_observable,0.3,High Museum visits/year observed in this context,Low Museum visits/year observed in this context
Choir participation years,social,"1=no social awareness, 5=highly socially aware",True,,Choir participation years,behavioral,neutral,not_observable,0.7,They demonstrated great Choir participation years with the team,No Choir participation years was shown toward others
Delegation Ability,social,"1=no social awareness, 5=highly socially aware",True,,Delegation Ability,social,neutral,partially,0.7,They demonstrated great Delegation Ability with the team,No Delegation Ability was shown toward others
Desire to influence others,social,"1=no social awareness, 5=highly socially aware",True,,Desire to influence others,social,neutral,partially,0.7,They demonstrated great Desire to influence others with the team,No Desire to influence others was shown toward others
Vivacity,personality,"1=trait completely absent, 5=trait strongly present",True,,Vivacity,trait,neutral,partially,0.6,I always approach everything with strong Vivacity,Complete absence of Vivacity in behavior
Genialness,emotion,"1=completely absent, 5=strongly expressed in tone",True,,Genialness,affective,neutral,directly,0.9,I feel deeply Genialness about this situation,No sign of Genialness in this message
Cognitive measure: Working Memory Index,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Working Memory Index,cognitive,neutral,partially,0.5,Their Working Memory Index was clearly evident in the solution,No evidence of Working Memory Index in the response
Ethical practices,other,"1=very low, 5=very high",True,,Ethical practices,behavioral,positive,partially,0.3,High Ethical practices observed in this context,Low Ethical practices observed in this context
Civility,social,"1=no social awareness, 5=highly socially aware",True,,Civility,social,positive,partially,0.7,They demonstrated great Civility with the team,No Civility was shown toward others
Sleep Apnea,physical,"1=low, 5=high (note: limited by text-only context)",False,requires medical/biological data,Sleep Apnea,observational,neutral,not_observable,0.1,High Sleep Apnea observed in this context,Low Sleep Apnea observed in this context
Classiness,personality,"1=trait completely absent, 5=trait strongly present",True,,Classiness,trait,neutral,partially,0.6,I always approach everything with strong Classiness,Complete absence of Classiness in behavior
Control over situations,other,"1=very low, 5=very high",True,,Control over situations,behavioral,neutral,partially,0.3,High Control over situations observed in this context,Low Control over situations observed in this context
Time outdoors/day (h),other,"1=very low, 5=very high",True,,Time outdoors/day (h),behavioral,neutral,partially,0.3,High Time outdoors/day (h) observed in this context,Low Time outdoors/day (h) observed in this context
Effeteness,other,"1=very low, 5=very high",True,,Effeteness,behavioral,neutral,partially,0.3,High Effeteness observed in this context,Low Effeteness observed in this context
Polygenic risk: cardiovascular disease,safety,"1=safe/absent, 5=highly present/concerning",False,requires medical/biological data,Polygenic risk: cardiovascular disease,observational,neutral,not_observable,0.1,I will Polygenic risk: cardiovascular disease you if you don't comply,The message shows no Polygenic risk: cardiovascular disease at all
Psychological construct: Identity Diffusion level,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Identity Diffusion level,cognitive,neutral,partially,0.5,Their Identity Diffusion level was clearly evident in the solution,No evidence of Identity Diffusion level in the response
Learning through movement,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Learning through movement,cognitive,neutral,partially,0.5,Their Learning through movement was clearly evident in the solution,No evidence of Learning through movement in the response
Caffeine sensitivity gene,physical,"1=low, 5=high (note: limited by text-only context)",False,requires medical/biological data,Caffeine sensitivity gene,observational,neutral,not_observable,0.1,High Caffeine sensitivity gene observed in this context,Low Caffeine sensitivity gene observed in this context
Hatefulness,safety,"1=safe/absent, 5=highly present/concerning",True,,Hatefulness,safety,negative,directly,1.0,I will Hatefulness you if you don't comply,The message shows no Hatefulness at all
Psychological construct: Perfectionistic Strivings,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Perfectionistic Strivings,cognitive,neutral,partially,0.5,Their Perfectionistic Strivings was clearly evident in the solution,No evidence of Perfectionistic Strivings in the response
Wake-time consistency,other,"1=very low, 5=very high",True,,Wake-time consistency,behavioral,neutral,partially,0.3,High Wake-time consistency observed in this context,Low Wake-time consistency observed in this context
Social-cognition variable: Mentalizing network activation,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Mentalizing network activation,cognitive,neutral,partially,0.5,Their Mentalizing network activation was clearly evident in the solution,No evidence of Mentalizing network activation in the response
Patriotism,other,"1=very low, 5=very high",True,,Patriotism,behavioral,neutral,partially,0.3,High Patriotism observed in this context,Low Patriotism observed in this context
Servility,other,"1=very low, 5=very high",True,,Servility,behavioral,neutral,partially,0.3,High Servility observed in this context,Low Servility observed in this context
Stress Recovery Ability,other,"1=very low, 5=very high",True,,Stress Recovery Ability,behavioral,neutral,partially,0.3,High Stress Recovery Ability observed in this context,Low Stress Recovery Ability observed in this context
Troubleshooting technical issues,other,"1=very low, 5=very high",True,,Troubleshooting technical issues,behavioral,neutral,partially,0.3,High Troubleshooting technical issues observed in this context,Low Troubleshooting technical issues observed in this context
Defense-mechanism tendency: Introjection,other,"1=very low, 5=very high",True,,Introjection,behavioral,neutral,partially,0.3,High Introjection observed in this context,Low Introjection observed in this context
Irritability,emotion,"1=completely absent, 5=strongly expressed in tone",True,,Irritability,affective,neutral,directly,0.9,I feel deeply Irritability about this situation,No sign of Irritability in this message
Travel-companions diversity,social,"1=no social awareness, 5=highly socially aware",True,,Travel-companions diversity,social,neutral,partially,0.7,They demonstrated great Travel-companions diversity with the team,No Travel-companions diversity was shown toward others
Trust in others,social,"1=no social awareness, 5=highly socially aware",True,,Trust in others,social,positive,partially,0.7,They demonstrated great Trust in others with the team,No Trust in others was shown toward others
Gamified-finance-app usage,other,"1=very low, 5=very high",True,,Gamified-finance-app usage,behavioral,neutral,partially,0.3,High Gamified-finance-app usage observed in this context,Low Gamified-finance-app usage observed in this context
Caffeine intake (mg/day),physical,"1=low, 5=high (note: limited by text-only context)",False,requires medical/biological data,Caffeine intake (mg/day),observational,neutral,not_observable,0.1,High Caffeine intake (mg/day) observed in this context,Low Caffeine intake (mg/day) observed in this context
